Implementation;Method;listSize;Score;Score Error;Allocation Rate
CLOJURE_HASH_MAP;getRandom;1000;46,18;0,21;0
CLOJURE_HASH_MAP;getRandom;10000;63,706;0,153;0
CLOJURE_HASH_MAP;getRandom;100000;93,788;3,443;0
CLOJURE_HASH_MAP;getRandom;1000000;234,203;12,89;0
SCALA_HASH_MAP;getRandom;1;23,106;0,23;16
SCALA_HASH_MAP;getRandom;4;20,593;1,217;16
SCALA_HASH_MAP;getRandom;10;19,383;0,177;16
SCALA_HASH_MAP;getRandom;15;27,851;0,618;16
SCALA_HASH_MAP;getRandom;20;27,674;0,382;16
SCALA_HASH_MAP;getRandom;25;29,481;0,762;16
SCALA_HASH_MAP;getRandom;50;31,12;0,518;16
SCALA_HASH_MAP;getRandom;100;22,689;0,283;16
SCALA_HASH_MAP;getRandom;1000;31,966;0,562;16
SCALA_HASH_MAP;getRandom;10000;53,497;1,788;16
SCALA_HASH_MAP;getRandom;100000;71,69;7,507;16
SCALA_HASH_MAP;getRandom;1000000;245,186;51,466;16
SCALA_TREE_MAP;getRandom;1;25,088;0,233;16
SCALA_TREE_MAP;getRandom;4;28,86;0,734;16
SCALA_TREE_MAP;getRandom;10;33,598;0,903;16
SCALA_TREE_MAP;getRandom;15;35,201;0,927;16
SCALA_TREE_MAP;getRandom;20;37,429;0,966;16
SCALA_TREE_MAP;getRandom;25;39,178;1,075;16
SCALA_TREE_MAP;getRandom;50;43,299;1,197;16
SCALA_TREE_MAP;getRandom;100;52,204;1,77;16
SCALA_TREE_MAP;getRandom;1000;107,607;6,7;12,181
SCALA_TREE_MAP;getRandom;10000;130,21;0,403;0
SCALA_TREE_MAP;getRandom;100000;195,818;11,091;0
SCALA_TREE_MAP;getRandom;1000000;187,022;0,712;0
JAVASLANG_HASH_MAP;getRandom;1;16,291;0,255;16
JAVASLANG_HASH_MAP;getRandom;4;21,515;0,1;16
JAVASLANG_HASH_MAP;getRandom;10;24,327;0,112;16
JAVASLANG_HASH_MAP;getRandom;15;22,765;0,136;16
JAVASLANG_HASH_MAP;getRandom;20;25,118;0,278;16
JAVASLANG_HASH_MAP;getRandom;25;20,803;0,729;16
JAVASLANG_HASH_MAP;getRandom;50;23,792;0,056;16
JAVASLANG_HASH_MAP;getRandom;100;25,196;0,071;16
JAVASLANG_HASH_MAP;getRandom;1000;41,809;1,222;16
JAVASLANG_HASH_MAP;getRandom;10000;55,949;0,916;16
